id_opinion,texte_opinion,auteur,note
1,"Le produit est incroyable, je ne peux plus m'en passer!","Alice",5
2,"Pas vraiment convaincu, la qualité n'est pas au rendez-vous.","Bob",2
3,"Un excellent achat, le produit répond parfaitement à mes besoins.","Charlie",4
4,"Le service client est exceptionnel, ils ont résolu mon problème rapidement.","David",5
5,"Je suis déçu de la durée de vie de la batterie, c'est un point faible.","Eva",3
6,"Design élégant, mais un peu trop cher à mon goût.","Frank",3
7,"Facile à utiliser, même pour un novice comme moi. J'adore!","Grace",4
8,"La livraison a pris du retard, mais le produit en valait la peine.","Henry",4
9,"Le manuel d'utilisation est compliqué, cela aurait pu être plus simple.","Ivy",2
10,"J'ai offert ce produit en cadeau, et la réaction a été géniale!","Jack",5
11,"Les fonctionnalités sont limitées pour le prix que j'ai payé.","Katie",3
12,"La garantie étendue m'a rassuré lors de l'achat.","Louis",4
13,"Le produit s'est cassé après quelques jours. Déçu de la qualité.","Mia",2
14,"Livraison rapide, emballage soigné. Bon service client!","Nathan",4
15,"Rapport qualité-prix exceptionnel, je recommande vivement!","Olivia",5
16,"Idéal pour un usage professionnel, répond à toutes mes attentes.","Paul",5
17,"Le produit est un peu lourd, mais sa performance compense.","Quinn",3
18,"Je ne peux plus me passer de ce produit, un must-have!","Rachel",5
19,"La compatibilité avec d'autres appareils est limitée.","Simon",2
20,"Le produit est arrivé défectueux, mais le support client a été réactif.","Tom",3
